ts_ns,symbol,venue,price,price_ticks,size,aggressor_side
1749218412000000000,AAPL,XNAS,1.0003334283828735,100,202.0,BUY
1749218415000000000,AAPL,XNAS,1.000420093536377,100,77.0,BUY
1749218420000000000,AAPL,XNAS,1.0006402730941772,100,157.0,BUY
1749218423000000000,AAPL,XNAS,1.0007281303405762,100,237.0,BUY
1749218425000000000,AAPL,XNAS,1.0011005401611328,100,64.0,BUY
1749218428000000000,AAPL,XNAS,1.0011622905731201,100,100.0,BUY
1749218442000000000,AAPL,XNAS,1.0014076232910156,100,200.0,BUY
1749218444000000000,AAPL,XNAS,1.0012037754058838,100,100.0,SELL
1749218445000000000,AAPL,XNAS,1.0013062953948975,100,1.0,BUY
1749218448000000000,AAPL,XNAS,1.000998854637146,100,204.0,BUY
1749218456000000000,AAPL,XNAS,1.0011013746261597,100,9.0,BUY
1749218457000000000,AAPL,XNAS,1.0011483430862427,100,218.0,BUY
1749218458000000000,AAPL,XNAS,1.0011526346206665,100,100.0,BUY
1749218460000000000,AAPL,XNAS,1.0011526346206665,100,207.0,BUY
1749218461000000000,AAPL,XNAS,1.0012037754058838,100,100.0,BUY
1749218462000000000,AAPL,XNAS,1.0012037754058838,100,200.0,BUY
1749218464000000000,AAPL,XNAS,1.0012037754058838,100,100.0,BUY
1749218465000000000,AAPL,XNAS,1.0012037754058838,100,100.0,BUY
1749218470000000000,AAPL,XNAS,1.0015552043914795,100,300.0,BUY
1749218471000000000,AAPL,XNAS,1.0014086961746216,100,171.0,BUY
1749218474000000000,AAPL,XNAS,1.0011265277862549,100,201.0,BUY
1749218503000000000,AAPL,XNAS,1.0012037754058838,100,7.0,SELL
1749218517000000000,AAPL,XNAS,1.0007412433624268,100,205.0,SELL
1749218521000000000,AAPL,XNAS,1.0003349781036377,100,104.0,SELL
1749218522000000000,AAPL,XNAS,1.0002305507659912,100,1.0,SELL
1749218551000000000,AAPL,XNAS,1.000435471534729,100,1200.0,SELL
1749218552000000000,AAPL,XNAS,1.0008964538574219,100,29.0,BUY
1749218555000000000,AAPL,XNAS,1.000998854637146,100,101.0,BUY
1749218563000000000,AAPL,XNAS,1.0011013746261597,100,160.0,BUY
