ts_ns,symbol,venue,level,side,price,price_ticks,size,num_orders
1749304800000000000,AAPL,XNAS,1,1,0.998504638671875,100,200.0,1
1749304800000000000,AAPL,XNAS,1,-1,0.9992523193359375,100,200.0,1
1749304800000000000,AAPL,XNAS,2,1,0.9984548091888428,100,49.0,1
1749304800000000000,AAPL,XNAS,2,-1,0.9993021488189697,100,9.0,1
1749304802000000000,AAPL,XNAS,1,1,0.9984548091888428,100,49.0,1
1749304802000000000,AAPL,XNAS,1,-1,0.9992523193359375,100,200.0,1
1749304802000000000,AAPL,XNAS,2,1,0.9984049201011658,100,149.0,1
1749304802000000000,AAPL,XNAS,2,-1,0.9993021488189697,100,9.0,1
1749304803000000000,AAPL,XNAS,1,1,0.9984548091888428,100,149.0,1
1749304803000000000,AAPL,XNAS,1,-1,0.9992523193359375,100,200.0,1
1749304803000000000,AAPL,XNAS,2,1,0.9984049201011658,100,149.0,1
1749304803000000000,AAPL,XNAS,2,-1,0.9993021488189697,100,9.0,1
1749304804000000000,AAPL,XNAS,1,1,0.998504638671875,100,100.0,1
1749304804000000000,AAPL,XNAS,1,-1,0.9992523193359375,100,100.0,1
1749304804000000000,AAPL,XNAS,2,1,0.9984548091888428,100,149.0,1
1749304804000000000,AAPL,XNAS,2,-1,0.9993021488189697,100,9.0,1
1749304805000000000,AAPL,XNAS,1,1,0.9984548091888428,100,149.0,1
1749304805000000000,AAPL,XNAS,1,-1,0.9992523193359375,100,100.0,1
1749304805000000000,AAPL,XNAS,2,1,0.9984049201011658,100,173.0,1
1749304805000000000,AAPL,XNAS,2,-1,0.9993021488189697,100,9.0,1
1749304806000000000,AAPL,XNAS,1,1,0.998504638671875,100,100.0,1
1749304806000000000,AAPL,XNAS,1,-1,0.9992523193359375,100,100.0,1
1749304806000000000,AAPL,XNAS,2,1,0.9984548091888428,100,49.0,1
1749304806000000000,AAPL,XNAS,2,-1,0.9993021488189697,100,9.0,1
1749304813000000000,AAPL,XNAS,1,1,0.998504638671875,100,100.0,1
1749304813000000000,AAPL,XNAS,1,-1,0.9993021488189697,100,1.0,1
1749304813000000000,AAPL,XNAS,2,1,0.9984548091888428,100,49.0,1
1749304813000000000,AAPL,XNAS,2,-1,0.9993520379066467,100,1.0,1
1749304815000000000,AAPL,XNAS,1,1,0.998504638671875,100,100.0,1
1749304815000000000,AAPL,XNAS,1,-1,0.9991526007652283,100,100.0,1
1749304815000000000,AAPL,XNAS,2,1,0.9984548091888428,100,49.0,1
1749304815000000000,AAPL,XNAS,2,-1,0.9992024898529053,100,200.0,1
1749304816000000000,AAPL,XNAS,1,1,0.998504638671875,100,100.0,1
1749304816000000000,AAPL,XNAS,1,-1,0.9991526007652283,100,124.0,1
1749304816000000000,AAPL,XNAS,2,1,0.9984548091888428,100,49.0,1
1749304816000000000,AAPL,XNAS,2,-1,0.9992024898529053,100,100.0,1
1749304817000000000,AAPL,XNAS,1,1,0.9980061650276184,100,100.0,1
1749304817000000000,AAPL,XNAS,1,-1,0.9989532232284546,100,100.0,1
1749304817000000000,AAPL,XNAS,2,1,0.9979563355445862,100,24.0,1
1749304817000000000,AAPL,XNAS,2,-1,0.9990031123161316,100,200.0,1
1749304820000000000,AAPL,XNAS,1,1,0.9980061650276184,100,100.0,1
1749304820000000000,AAPL,XNAS,1,-1,0.9989532232284546,100,100.0,1
1749304820000000000,AAPL,XNAS,2,1,0.9979563355445862,100,24.0,1
1749304820000000000,AAPL,XNAS,2,-1,0.9990031123161316,100,100.0,1
1749304830000000000,AAPL,XNAS,1,1,0.9980061650276184,100,176.0,1
1749304830000000000,AAPL,XNAS,1,-1,0.9992523193359375,100,100.0,1
1749304830000000000,AAPL,XNAS,2,1,0.9979563355445862,100,24.0,1
1749304830000000000,AAPL,XNAS,2,-1,0.9993021488189697,100,1.0,1
1749304831000000000,AAPL,XNAS,1,1,0.9981058835983276,100,100.0,1
