ts_ns,symbol,venue,price,price_ticks,size,aggressor_side
1749304800000000000,AAPL,XNAS,0.9986375570297241,100,300.0,SELL
1749304815000000000,AAPL,XNAS,0.9988535642623901,100,1.0,BUY
1749304817000000000,AAPL,XNAS,0.9984882473945618,100,149.0,BUY
1749304875000000000,AAPL,XNAS,0.9983384609222412,100,3.0,BUY
1749304893000000000,AAPL,XNAS,0.9983550906181335,100,2.0,SELL
1749304898000000000,AAPL,XNAS,0.9982895255088806,100,146.0,BUY
1749304902000000000,AAPL,XNAS,0.9981557130813599,100,1.0,SELL
1749304904000000000,AAPL,XNAS,0.9980560541152954,100,3.0,SELL
1749304920000000000,AAPL,XNAS,0.9978501200675964,100,107.0,BUY
1749304925000000000,AAPL,XNAS,0.9973582029342651,100,2.0,BUY
1749304927000000000,AAPL,XNAS,0.9975575804710388,100,1.0,SELL
1749304935000000000,AAPL,XNAS,0.9974578619003296,100,3.0,SELL
1749304942000000000,AAPL,XNAS,0.9975575804710388,100,2.0,SELL
1749304952000000000,AAPL,XNAS,0.9973582029342651,100,3.0,SELL
1749304966000000000,AAPL,XNAS,0.9977569580078125,100,1.0,BUY
1749304969000000000,AAPL,XNAS,0.9974578619003296,100,2.0,SELL
1749304983000000000,AAPL,XNAS,0.9973183274269104,100,125.0,BUY
1749304985000000000,AAPL,XNAS,0.9972086548805237,100,1.0,BUY
1749304987000000000,AAPL,XNAS,0.9970591068267822,100,2.0,SELL
1749304996000000000,AAPL,XNAS,0.9970591068267822,100,1.0,SELL
1749304999000000000,AAPL,XNAS,0.9971089363098145,100,3.0,SELL
1749305025000000000,AAPL,XNAS,0.9975575804710388,100,11.0,BUY
1749305027000000000,AAPL,XNAS,0.9974080324172974,100,1.0,SELL
1749305059000000000,AAPL,XNAS,0.9968530535697937,100,276.0,SELL
1749305089000000000,AAPL,XNAS,0.9961618781089783,100,1.0,BUY
1749305090000000000,AAPL,XNAS,0.9958462119102478,100,3.0,BUY
1749305092000000000,AAPL,XNAS,0.9961614012718201,100,200.0,BUY
1749305102000000000,AAPL,XNAS,0.9963114261627197,100,100.0,BUY
1749305109000000000,AAPL,XNAS,0.9961346983909607,100,220.0,SELL
1749305111000000000,AAPL,XNAS,0.9961618781089783,100,100.0,SELL
1749305112000000000,AAPL,XNAS,0.996271550655365,100,5.0,SELL
1749305118000000000,AAPL,XNAS,0.9964609742164612,100,200.0,SELL
1749305122000000000,AAPL,XNAS,0.9966011643409729,100,337.0,BUY
1749305151000000000,AAPL,XNAS,0.9967101812362671,100,3.0,SELL
1749305165000000000,AAPL,XNAS,0.9968597292900085,100,1.0,SELL
1749305176000000000,AAPL,XNAS,0.9968597292900085,100,2.0,SELL
1749305181000000000,AAPL,XNAS,0.9971089363098145,100,259.0,SELL
1749305182000000000,AAPL,XNAS,0.9971089363098145,100,1.0,SELL
1749305183000000000,AAPL,XNAS,0.9970706105232239,100,13.0,BUY
1749305187000000000,AAPL,XNAS,0.9968597292900085,100,3.0,SELL
1749305203000000000,AAPL,XNAS,0.9974554777145386,100,42.0,SELL
1749305232000000000,AAPL,XNAS,0.9972113966941833,100,109.0,SELL
1749305241000000000,AAPL,XNAS,0.9973083734512329,100,2.0,SELL
1749305242000000000,AAPL,XNAS,0.9971089363098145,100,1.0,SELL
1749305250000000000,AAPL,XNAS,0.9969095587730408,100,100.0,BUY
1749305255000000000,AAPL,XNAS,0.9967101812362671,100,3.0,BUY
1749305264000000000,AAPL,XNAS,0.996411144733429,100,3.0,UNKNOWN
1749305276000000000,AAPL,XNAS,0.9966105222702026,100,1.0,BUY
1749305279000000000,AAPL,XNAS,0.9964609742164612,100,1.0,SELL
1749305291000000000,AAPL,XNAS,0.9960930347442627,100,882.0,BUY
1749305292000000000,AAPL,XNAS,0.9957132935523987,100,58.0,SELL
1749305293000000000,AAPL,XNAS,0.9956135749816895,100,5.0,SELL
1749305298000000000,AAPL,XNAS,0.9958129525184631,100,2.0,BUY
1749305300000000000,AAPL,XNAS,0.9957132935523987,100,3.0,SELL
1749305301000000000,AAPL,XNAS,0.9959625005722046,100,1.0,BUY
1749305302000000000,AAPL,XNAS,0.9956135749816895,100,10.0,SELL
1749305310000000000,AAPL,XNAS,0.9956634640693665,100,2.0,SELL
1749305316000000000,AAPL,XNAS,0.9958628416061401,100,1.0,SELL
1749305318000000000,AAPL,XNAS,0.9961369633674622,100,200.0,BUY
1749305329000000000,AAPL,XNAS,0.9956514835357666,100,208.0,BUY
1749305331000000000,AAPL,XNAS,0.9953643679618835,100,5.0,BUY
1749305332000000000,AAPL,XNAS,0.9950530529022217,100,61.0,BUY
1749305344000000000,AAPL,XNAS,0.9942677617073059,99,5.0,BUY
1749305354000000000,AAPL,XNAS,0.9940683841705322,99,2.0,SELL
1749305355000000000,AAPL,XNAS,0.9942677617073059,99,100.0,SELL
1749305366000000000,AAPL,XNAS,0.9942179322242737,99,3.0,SELL
1749305371000000000,AAPL,XNAS,0.9946999549865723,99,331.0,BUY
1749305376000000000,AAPL,XNAS,0.9944671392440796,99,2.0,BUY
1749305380000000000,AAPL,XNAS,0.9942677617073059,99,114.0,BUY
1749305392000000000,AAPL,XNAS,0.9939196109771729,99,203.0,SELL
1749305400000000000,AAPL,XNAS,1.0002434253692627,100,1.0,BUY
1749305419000000000,AAPL,XNAS,1.0002920627593994,100,1.0,BUY
1749305437000000000,AAPL,XNAS,1.0001733303070068,100,125.0,BUY
1749305451000000000,AAPL,XNAS,1.0000486373901367,100,10.0,SELL
1749305461000000000,AAPL,XNAS,1.0001460313796997,100,1.0,SELL
1749305542000000000,AAPL,XNAS,1.0003896951675415,100,148.0,BUY
1749305545000000000,AAPL,XNAS,1.0004380941390991,100,1.0,BUY
1749305554000000000,AAPL,XNAS,1.0004886388778687,100,129.0,BUY
1749305555000000000,AAPL,XNAS,1.0005353689193726,100,7.0,BUY
1749305575000000000,AAPL,XNAS,1.000335693359375,100,117.0,SELL
1749305619000000000,AAPL,XNAS,1.0003893375396729,100,1.0,BUY
1749305629000000000,AAPL,XNAS,1.0002434253692627,100,11.0,BUY
1749305645000000000,AAPL,XNAS,1.0000486373901367,100,45.0,SELL
1749305646000000000,AAPL,XNAS,0.9999513030052185,100,100.0,SELL
1749305680000000000,AAPL,XNAS,0.9997593760490417,100,106.0,BUY
1749305733000000000,AAPL,XNAS,0.9996592998504639,100,1.0,BUY
1749305736000000000,AAPL,XNAS,0.9998053312301636,100,308.0,BUY
1749305750000000000,AAPL,XNAS,0.9997566342353821,100,10.0,SELL
1749305751000000000,AAPL,XNAS,0.9998053312301636,100,1.0,BUY
