ts_ns,symbol,venue,level,side,price,price_ticks,size,num_orders
1749564000000000000,AAPL,XNAS,1,1,0.999113917350769,100,90.0,1
1749564000000000000,AAPL,XNAS,1,-1,1.0006399154663086,100,104.0,1
1749564000000000000,AAPL,XNAS,2,1,0.9990646839141846,100,139.0,1
1749564000000000000,AAPL,XNAS,2,-1,1.0008368492126465,100,25.0,1
1749564002000000000,AAPL,XNAS,1,1,0.999606192111969,100,90.0,1
1749564002000000000,AAPL,XNAS,1,-1,1.0006399154663086,100,104.0,1
1749564002000000000,AAPL,XNAS,2,1,0.9994584918022156,100,200.0,1
1749564002000000000,AAPL,XNAS,2,-1,1.0008368492126465,100,25.0,1
1749564003000000000,AAPL,XNAS,1,1,0.999606192111969,100,90.0,1
1749564003000000000,AAPL,XNAS,1,-1,1.0006399154663086,100,104.0,1
1749564003000000000,AAPL,XNAS,2,1,0.9994584918022156,100,300.0,2
1749564003000000000,AAPL,XNAS,2,-1,1.0008368492126465,100,25.0,1
1749564005000000000,AAPL,XNAS,1,1,0.999606192111969,100,90.0,1
1749564005000000000,AAPL,XNAS,1,-1,1.0006399154663086,100,104.0,1
1749564005000000000,AAPL,XNAS,2,1,0.9994584918022156,100,139.0,1
1749564005000000000,AAPL,XNAS,2,-1,1.0008368492126465,100,25.0,1
1749564006000000000,AAPL,XNAS,1,1,0.999606192111969,100,129.0,1
1749564006000000000,AAPL,XNAS,1,-1,1.0006399154663086,100,104.0,1
1749564006000000000,AAPL,XNAS,2,1,0.9994584918022156,100,101.0,1
1749564006000000000,AAPL,XNAS,2,-1,1.0008368492126465,100,25.0,1
1749564007000000000,AAPL,XNAS,1,1,0.9997538924217224,100,108.0,1
1749564007000000000,AAPL,XNAS,1,-1,1.0009845495224,100,24.0,1
1749564007000000000,AAPL,XNAS,2,1,0.9996554255485535,100,200.0,1
1749564007000000000,AAPL,XNAS,2,-1,1.0010337829589844,100,84.0,1
1749564008000000000,AAPL,XNAS,1,1,0.9997538924217224,100,108.0,1
1749564008000000000,AAPL,XNAS,1,-1,1.0009845495224,100,24.0,1
1749564008000000000,AAPL,XNAS,2,1,0.9996554255485535,100,200.0,1
1749564008000000000,AAPL,XNAS,2,-1,1.0010337829589844,100,84.0,1
1749564009000000000,AAPL,XNAS,1,1,0.9997538924217224,100,108.0,1
