ts_ns,symbol,venue,price,price_ticks,size,aggressor_side
1749564007000000000,AAPL,XNAS,1.0006399154663086,100,20.0,BUY
1749564026000000000,AAPL,XNAS,1.0005251169204712,100,9.0,BUY
1749564056000000000,AAPL,XNAS,1.0010887384414673,100,206.0,SELL
1749564102000000000,AAPL,XNAS,1.001772165298462,100,135.0,SELL
1749564104000000000,AAPL,XNAS,1.0013620853424072,100,303.0,SELL
1749564131000000000,AAPL,XNAS,1.0013291835784912,100,4.0,SELL
1749564162000000000,AAPL,XNAS,1.0014147758483887,100,158.0,SELL
1749564170000000000,AAPL,XNAS,1.0014798641204834,100,114.0,SELL
1749564180000000000,AAPL,XNAS,1.001772165298462,100,55.0,BUY
1749564279000000000,AAPL,XNAS,1.0010979175567627,100,596.0,BUY
1749564289000000000,AAPL,XNAS,1.0010337829589844,100,2.0,SELL
1749564327000000000,AAPL,XNAS,1.000491976737976,100,471.0,BUY
1749564339000000000,AAPL,XNAS,1.000196933746338,100,1.0,SELL
1749564342000000000,AAPL,XNAS,0.9994698762893677,100,104.0,BUY
1749564343000000000,AAPL,XNAS,0.9989662170410156,100,1.0,SELL
1749564366000000000,AAPL,XNAS,0.9986216425895691,100,1.0,SELL
1749564399000000000,AAPL,XNAS,0.9984247088432312,100,30.0,SELL
1749564442000000000,AAPL,XNAS,0.9991631507873535,100,100.0,BUY
1749564498000000000,AAPL,XNAS,0.999212384223938,100,80.0,SELL
1749564507000000000,AAPL,XNAS,0.9996640682220459,100,493.0,BUY
1749564508000000000,AAPL,XNAS,1.0000429153442383,100,179.0,SELL
1749564542000000000,AAPL,XNAS,0.9998756647109985,100,190.0,SELL
1749564600000000000,AAPL,XNAS,0.9974278807640076,100,275.0,BUY
1749564603000000000,AAPL,XNAS,0.9975590705871582,100,152.0,BUY
1749564605000000000,AAPL,XNAS,0.9971849322319031,100,590.0,BUY
1749564607000000000,AAPL,XNAS,0.9966868758201599,100,101.0,SELL
1749564618000000000,AAPL,XNAS,0.9965896606445312,100,1.0,SELL
1749564677000000000,AAPL,XNAS,0.9976604580879211,100,279.0,SELL
1749564678000000000,AAPL,XNAS,0.9977022409439087,100,1.0,SELL
1749564705000000000,AAPL,XNAS,0.9978957772254944,100,20.0,BUY
1749564724000000000,AAPL,XNAS,0.9982343912124634,100,1.0,BUY
1749564728000000000,AAPL,XNAS,0.997660219669342,100,322.0,SELL
1749564770000000000,AAPL,XNAS,0.9979441165924072,100,20.0,SELL
1749564786000000000,AAPL,XNAS,0.9975571632385254,100,64.0,SELL
1749564787000000000,AAPL,XNAS,0.9974848031997681,100,337.0,SELL
1749564874000000000,AAPL,XNAS,0.9980892539024353,100,1.0,SELL
1749564902000000000,AAPL,XNAS,0.9986697435379028,100,100.0,BUY
1749564941000000000,AAPL,XNAS,0.998475968837738,100,201.0,SELL
1749564942000000000,AAPL,XNAS,0.9982101917266846,100,200.0,SELL
1749564949000000000,AAPL,XNAS,0.9981134533882141,100,200.0,BUY
1749564970000000000,AAPL,XNAS,0.9977169632911682,100,230.0,BUY
1749565072000000000,AAPL,XNAS,0.9977989792823792,100,19.0,SELL
1749565088000000000,AAPL,XNAS,0.9976100921630859,100,21.0,BUY
1749565122000000000,AAPL,XNAS,0.9972308278083801,100,134.0,SELL
1749565125000000000,AAPL,XNAS,0.9971699118614197,100,201.0,BUY
1749565159000000000,AAPL,XNAS,0.9973394870758057,100,650.0,SELL
1749565200000000000,AAPL,XNAS,0.9985035061836243,100,195.0,BUY
1749565201000000000,AAPL,XNAS,0.9980732202529907,100,214.0,SELL
1749565206000000000,AAPL,XNAS,0.998081386089325,100,43.0,SELL
1749565213000000000,AAPL,XNAS,0.9991050958633423,100,9.0,BUY
1749565214000000000,AAPL,XNAS,0.9995041489601135,100,4.0,BUY
1749565231000000000,AAPL,XNAS,0.9991050958633423,100,11.0,BUY
1749565242000000000,AAPL,XNAS,0.9994437098503113,100,35.0,SELL
1749565254000000000,AAPL,XNAS,0.999783992767334,100,114.0,SELL
1749565259000000000,AAPL,XNAS,1.0000245571136475,100,115.0,BUY
1749565260000000000,AAPL,XNAS,0.9998790621757507,100,3.0,SELL
1749565265000000000,AAPL,XNAS,1.000169277191162,100,4.0,BUY
