ts_ns,symbol,venue,level,side,price,price_ticks,size,num_orders
1749391200000000000,AAPL,XNAS,1,1,1.0007151365280151,100,1.0,1
1749391200000000000,AAPL,XNAS,1,-1,1.0013792514801025,100,100.0,1
1749391200000000000,AAPL,XNAS,2,1,1.000306487083435,100,164.0,1
1749391200000000000,AAPL,XNAS,2,-1,1.0017879009246826,100,50.0,1
1749391201000000000,AAPL,XNAS,1,1,1.0007151365280151,100,1.0,1
1749391201000000000,AAPL,XNAS,1,-1,1.0013792514801025,100,100.0,1
1749391201000000000,AAPL,XNAS,2,1,1.0004597902297974,100,6.0,1
1749391201000000000,AAPL,XNAS,2,-1,1.0017879009246826,100,50.0,1
1749391202000000000,AAPL,XNAS,1,1,1.0007151365280151,100,1.0,1
1749391202000000000,AAPL,XNAS,1,-1,1.0013792514801025,100,100.0,1
1749391202000000000,AAPL,XNAS,2,1,1.000510811805725,100,100.0,1
1749391202000000000,AAPL,XNAS,2,-1,1.0017879009246826,100,50.0,1
1749391203000000000,AAPL,XNAS,1,1,1.0007151365280151,100,1.0,1
1749391203000000000,AAPL,XNAS,1,-1,1.0013281106948853,100,100.0,1
1749391203000000000,AAPL,XNAS,2,1,1.000510811805725,100,100.0,1
1749391203000000000,AAPL,XNAS,2,-1,1.0013792514801025,100,100.0,1
1749391213000000000,AAPL,XNAS,1,1,1.0007151365280151,100,1.0,1
1749391213000000000,AAPL,XNAS,1,-1,1.0013792514801025,100,100.0,1
1749391213000000000,AAPL,XNAS,2,1,1.000510811805725,100,100.0,1
1749391213000000000,AAPL,XNAS,2,-1,1.0014814138412476,100,55.0,1
1749391216000000000,AAPL,XNAS,1,1,1.0007151365280151,100,1.0,1
1749391216000000000,AAPL,XNAS,1,-1,1.0013792514801025,100,100.0,1
1749391216000000000,AAPL,XNAS,2,1,1.000510811805725,100,200.0,1
1749391216000000000,AAPL,XNAS,2,-1,1.0014814138412476,100,55.0,1
1749391220000000000,AAPL,XNAS,1,1,1.000510811805725,100,200.0,1
